股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价,涨跌额,涨跌幅(%),成交量(手),成交额(千元)
600887.SH,2025-06-30,27.99,28.04,27.8,27.88,27.92,-0.04,-0.1433,294848.74,821943.961
600887.SH,2025-07-01,27.86,27.86,27.6,27.67,27.88,-0.21,-0.7532,335129.38,927316.668
600887.SH,2025-07-02,27.74,27.92,27.56,27.81,27.67,0.14,0.506,467449.65,1297460.482
600887.SH,2025-07-03,27.81,27.83,27.64,27.75,27.81,-0.06,-0.2157,259288.28,718400.832
600887.SH,2025-07-04,27.74,27.9,27.65,27.77,27.75,0.02,0.0721,287417.05,798463.929
600887.SH,2025-07-07,27.75,27.77,27.19,27.37,27.77,-0.4,-1.4404,534659.15,1465796.545
600887.SH,2025-07-08,27.35,27.6,27.27,27.49,27.37,0.12,0.4384,312889.34,859934.216
600887.SH,2025-07-09,27.49,27.99,27.45,27.69,27.49,0.2,0.7275,482633.05,1342833.361
600887.SH,2025-07-10,27.69,27.96,27.64,27.66,27.69,-0.03,-0.1083,373409.91,1036277.367
600887.SH,2025-07-11,27.67,27.95,27.66,27.69,27.66,0.03,0.1085,467555.74,1299838.473
600887.SH,2025-07-14,27.7,27.73,27.44,27.49,27.69,-0.2,-0.7223,449659.32,1237562.2
600887.SH,2025-07-15,27.49,27.61,27.26,27.38,27.49,-0.11,-0.4001,364970.3,999638.872
600887.SH,2025-07-16,27.39,27.68,27.38,27.52,27.38,0.14,0.5113,337587.39,929227.537
600887.SH,2025-07-17,27.54,28.16,27.51,28.1,27.52,0.58,2.1076,597872.88,1668797.44
600887.SH,2025-07-18,28.12,28.23,27.88,28.07,28.1,-0.03,-0.1068,335659.27,940587.764
600887.SH,2025-07-21,28.08,28.21,27.98,28.19,28.07,0.12,0.4275,319424.51,897556.154
600887.SH,2025-07-22,28.22,28.42,28.12,28.37,28.19,0.18,0.6385,386782.67,1095139.001
600887.SH,2025-07-23,28.42,28.54,28.25,28.29,28.37,-0.08,-0.282,356905.39,1012987.185
600887.SH,2025-07-24,28.29,28.34,28.13,28.24,28.29,-0.05,-0.1767,360050.76,1015874.052
600887.SH,2025-07-25,28.2,28.2,27.81,27.83,28.24,-0.41,-1.4518,443333.59,1239749.487
600887.SH,2025-07-28,27.84,27.95,27.67,27.73,27.83,-0.1,-0.3593,413144.84,1147320.824
600887.SH,2025-07-29,28.2,28.39,27.41,27.52,27.73,-0.21,-0.7573,1188984.73,3291479.316
600887.SH,2025-07-30,27.39,28.04,27.38,27.88,27.52,0.36,1.3081,781534.9,2173517.142
600887.SH,2025-07-31,27.82,27.82,27.38,27.41,27.88,-0.47,-1.6858,528616.7,1454311.357
600887.SH,2025-08-01,27.4,27.55,27.39,27.51,27.41,0.1,0.3648,347353.58,954195.33
600887.SH,2025-08-04,27.39,27.49,27.31,27.48,27.51,-0.03,-0.1091,302352.99,828205.263
600887.SH,2025-08-05,27.5,27.55,27.36,27.55,27.48,0.07,0.2547,331782.23,911276.744
600887.SH,2025-08-06,27.55,27.69,27.48,27.57,27.55,0.02,0.0726,301320.08,830900.511
600887.SH,2025-08-07,27.59,27.62,27.46,27.57,27.57,0.0,0.0,303772.95,837202.048
600887.SH,2025-08-08,27.55,27.55,27.22,27.3,27.57,-0.27,-0.9793,415787.37,1137063.976
600887.SH,2025-08-11,27.31,27.6,27.26,27.57,27.3,0.27,0.989,392240.87,1077280.578
600887.SH,2025-08-12,27.57,27.72,27.46,27.47,27.57,-0.1,-0.3627,312211.46,860552.801
600887.SH,2025-08-13,27.52,27.68,27.42,27.48,27.47,0.01,0.0364,435683.21,1197693.411
600887.SH,2025-08-14,27.5,27.57,27.2,27.2,27.48,-0.28,-1.0189,560989.15,1536616.438
600887.SH,2025-08-15,27.2,27.34,26.99,27.16,27.2,-0.04,-0.1471,593253.56,1611339.273
600887.SH,2025-08-18,27.19,27.55,27.19,27.2,27.16,0.04,0.1473,766025.83,2097560.156
600887.SH,2025-08-19,27.35,27.59,27.2,27.21,27.2,0.01,0.0368,772282.83,2113799.555
600887.SH,2025-08-20,27.21,27.51,27.04,27.46,27.21,0.25,0.9188,648817.17,1768582.0
600887.SH,2025-08-21,27.48,27.8,27.4,27.64,27.46,0.18,0.6555,699106.44,1931938.562
600887.SH,2025-08-22,27.68,27.7,27.5,27.69,27.64,0.05,0.1809,511270.44,1410588.146
600887.SH,2025-08-25,27.76,28.18,27.74,28.17,27.69,0.48,1.7335,888164.68,2482832.113
600887.SH,2025-08-26,28.09,28.55,28.02,28.33,28.17,0.16,0.568,712899.38,2018922.787
